업종별,예술 스포츠 및 여가관련서비스업,9591,46.1,4421,23.8,2279,30.2,2892,94.1,2722,5.4,157,0.5,13,0.0,0,10096,46.7,4719,19.0,1919,34.2,3458,3.1,106,7.6,262,6.8,233,13.4,464,7.6,262,47.7,1648,11.4,393,2.5,87,13466,26.9,3626,3.9,519,69.2,9320,6.5,604,0.2,16,1.5,139,91.9,8561,14167,47.8,6773,10.3,1462,41.9,5932,2.7,161,19.1,1133,4.7,278,73.5,4361,0.0,0,10331,33.5,3456,45.4,4686,21.2,2189,31.2,683,32.4,709,9.1,199,27.3,598
업종별,협회 및 단체 수리 및 기타 개인서비스업,24560,42.0,10309,20.5,5042,37.5,9208,82.9,7632,6.5,596,5.2,477,5.5,503,23092,37.8,8733,31.9,7360,30.3,6999,6.1,424,0.0,0,3.1,216,20.1,1405,17.9,1256,27.4,1921,22.5,1575,2.9,203,24241,51.7,12532,16.1,3911,32.2,7798,3.2,248,0.9,73,2.2,175,93.6,7302,23634,52.2,12332,30.6,7227,17.2,4074,6.8,276,8.0,325,5.0,202,75.6,3081,4.7,190,15556,43.7,6803,30.1,4682,26.2,4071,16.3,662,17.5,712,33.7,1373,32.5,1325
종사자규모별,5~9인,320403,35.9,115057,21.4,68513,42.7,136833,79.7,109101,5.5,7499,6.1,8329,8.7,11904,367232,36.3,133356,24.2,88711,39.5,145165,6.7,9766,2.7,3927,3.4,4952,12.5,18179,16.8,24442,38.5,55934,14.3,20695,5.0,7270,403862,37.1,149663,22.9,92636,40.0,161563,16.9,27271,1.4,2301,7.0,11352,74.7,120638,420196,40.4,169551,24.6,103562,35.0,147083,7.9,11628,23.0,33884,6.0,8878,52.7,77441,10.4,15252,390050,40.8,159187,28.0,109210,31.2,121653,19.2,23367,24.7,30028,23.5,28613,32.6,39645
종사자규모별,10~29인,176358,49.8,87766,30.9,54416,19.4,34176,79.4,27131,11.2,3823,2.5,840,7.0,2381,197538,46.7,92246,34.0,67123,19.3,38169,8.1,3094,5.0,1920,9.5,3630,7.4,2834,24.0,9161,34.0,12977,9.6,3647,2.4,908,206378,53.1,109533,32.3,66638,14.6,30207,23.1,6971,6.8,2054,25.2,7615,44.9,13566,212484,52.9,112442,27.3,58036,19.8,42006,9.5,4006,25.3,10629,12.1,5071,44.2,18554,8.9,3747,195124,58.8,114708,27.3,53211,13.9,27205,22.8,6202,27.6,7513,20.9,5686,28.7,7805
종사자규모별,30~99인,62104,63.1,39185,28.1,17423,8.8,5496,82.6,4541,7.8,426,3.2,174,6.4,354,58552,60.4,35375,24.3,14233,15.3,8944,2.8,246,10.5,937,4.6,410,8.9,798,8.0,712,49.3,4413,11.7,1046,4.3,381,64603,65.9,42572,30.6,19780,3.5,2251,18.6,418,30.3,682,13.1,295,38.0,855,65142,65.7,42821,22.2,14471,12.1,7850,31.0,2436,17.9,1403,16.1,1261,23.0,1807,12.0,943,65654,74.9,49155,19.3,12646,5.9,3853,16.6,639,25.9,997,26.4,1019,31.1,1199
종사자규모별,100~299인,13066,67.1,8767,27.1,3544,5.8,755,82.8,625,0.5,4,8.7,66,7.9,60,10246,65.5,6708,19.5,2001,15.0,1537,35.9,552,21.3,327,24.9,382,15.6,240,0.0,0,2.3,36,0.0,0,0.0,0,13194,69.7,9195,26.4,3485,3.9,514,18.6,95,12.9,66,4.6,24,63.9,329,13349,73.6,9824,15.1,2020,11.3,1505,27.8,419,19.6,295,9.9,150,37.7,567,5.0,75,14487,87.9,12736,7.6,1106,4.4,644,14.0,90,19.1,123,52.9,341,14.0,90
종사자규모별,300인 이상,3356,88.5,2969,11.2,375,0.4,12,87.5,11,12.5,2,0.0,0,0.0,0,6341,85.4,5418,8.8,557,5.8,366,33.9,124,19.6,72,25.9,95,20.5,75,0.0,0,0.0,0,0.0,0,0.0,0,3479,87.1,3029,9.8,341,3.1,109,69.6,76,0.0,0,14.6,16,15.8,17,3570,95.5,3411,2.8,99,1.7,60,12.6,8,19.4,12,14.3,9,53.7,32,0.0,0,3804,91.0,3460,7.6,290,1.4,53,0.0,0,42.1,22,29.4,16,28.5,15
지역별,서울특별시,117139,47.7,55899,24.3,28522,27.9,32717,77.1,25233,11.3,3709,2.9,950,8.6,2826,128669,45.3,58259,23.9,30794,30.8,39617,7.0,2777,5.6,2207,2.8,1103,16.4,6515,13.4,5305,45.2,17895,6.0,2370,3.7,1446,149249,41.3,61708,22.4,33426,36.3,54115,10.2,5501,3.1,1678,5.8,3161,80.9,43774,147908,51.8,76659,23.2,34279,25.0,36970,12.1,4469,18.9,6977,11.4,4216,42.3,15642,15.3,5666,126334,56.6,71504,24.0,30380,19.4,24450,10.6,2588,31.5,7703,22.1,5398,35.8,8761
지역별,부산광역시,35802,42.8,15336,26.0,9305,31.2,11160,76.0,8479,9.0,1005,1.5,172,13.5,1504,45624,42.9,19589,26.6,12144,30.4,13891,12.9,1795,8.8,1228,0.5,66,15.2,2107,24.0,3333,25.8,3583,11.9,1659,0.9,120,40883,38.6,15761,35.8,14656,25.6,10466,22.7,2372,2.6,271,12.1,1267,62.6,6556,51248,45.8,23492,26.0,13350,28.1,14406,8.5,1222,13.5,1948,11.2,1613,49.7,7163,17.1,2459,50531,49.6,25080,25.2,12713,25.2,12738,22.8,2900,23.6,3004,11.1,1419,42.5,5415
지역별,대구광역시,24807,48.8,12111,13.1,3248,38.1,9448,82.8,7823,3.1,295,0.0,0,14.1,1330,25746,40.3,10380,33.3,8585,26.3,6781,4.1,278,2.8,188,6.1,410,7.9,534,8.8,599,57.7,3911,11.8,801,0.9,59,35040,30.0,10520,21.6,7566,48.4,16954,24.5,4160,5.6,945,5.5,935,64.4,10913,29274,51.2,15001,24.9,7276,23.9,6997,4.7,326,34.4,2407,0.0,0,41.9,2930,19.1,1333,27801,51.3,14274,24.2,6719,24.5,6808,19.2,1307,27.5,1873,22.2,1509,31.1,2120
지역별,인천광역시,31260,48.5,15156,12.0,3748,39.5,12356,89.5,11065,7.1,877,2.9,354,0.5,60,29763,36.6,10906,23.8,7071,39.6,11787,12.5,1470,1.3,152,6.9,809,9.6,1126,21.2,2498,33.6,3959,2.5,291,12.6,1481,33556,32.8,11017,23.0,7709,44.2,14830,9.3,1378,0.0,0,2.8,415,87.9,13037,41539,44.8,18625,25.2,10452,30.0,12462,2.4,296,32.1,3997,2.4,296,57.8,7203,5.4,670,33164,47.4,15724,24.1,7987,28.5,9454,11.7,1104,20.3,1923,30.1,2849,37.8,3578
지역별,광주광역시,20253,45.5,9218,18.9,3824,35.6,7211,89.5,6450,0.5,38,1.3,93,8.7,629,16707,37.0,6189,28.0,4682,34.9,5836,5.1,295,8.5,495,11.4,665,7.3,426,21.7,1265,46.1,2690,0.0,0,0.0,0,20056,29.0,5816,45.0,9019,26.0,5221,49.0,2560,11.0,573,10.6,554,29.4,1534,21379,32.4,6926,30.1,6432,37.5,8022,1.3,103,17.0,1360,18.3,1468,55.8,4476,7.7,615,16967,51.2,8684,28.2,4779,20.6,3503,13.2,461,18.6,651,19.2,673,49.0,1718
지역별,대전광역시,16682,52.2,8712,23.5,3912,24.3,4058,75.0,3043,8.9,362,0.0,0,16.1,652,17754,35.0,6222,30.9,5488,34.0,6044,0.2,13,2.0,122,3.0,181,25.3,1532,12.0,727,43.0,2600,3.9,237,10.5,633,21003,46.1,9688,31.6,6628,22.3,4687,50.7,2375,17.9,838,0.9,43,30.5,1431,18896,45.7,8638,18.3,3455,36.0,6803,7.7,527,41.1,2796,0.2,10,49.8,3385,1.2,84,17240,50.5,8714,31.3,5404,18.1,3122,11.8,369,21.3,666,32.9,1029,33.9,1058
지역별,울산광역시,11111,45.1,5011,19.3,2148,35.6,3951,82.1,3245,1.1,44,0.0,0,16.8,662,14942,47.8,7141,27.1,4056,25.1,3745,0.0,0,0.3,13,24.1,904,24.9,933,11.0,412,32.9,1231,5.2,195,1.5,56,13108,48.5,6356,26.3,3444,25.2,3308,0.0,0,0.0,0,10.9,361,89.1,2947,14445,44.0,6350,17.7,2561,38.3,5534,0.9,48,40.8,2257,7.3,402,47.9,2652,3.2,176,13578,45.2,6133,31.4,4257,23.5,3188,29.1,929,19.9,633,24.9,794,26.1,832
지역별,경기도,141573,41.8,59215,23.3,32941,34.9,49417,77.7,38416,8.3,4125,5.7,2803,8.2,4073,155937,38.8,60449,30.2,47160,31.0,48328,8.4,4038,2.3,1110,5.6,2722,9.4,4546,20.0,9642,30.6,14809,16.9,8190,6.8,3271,188519,51.9,97864,19.9,37529,28.2,53126,24.5,13003,1.5,799,6.7,3584,67.3,35740,184243,43.0,79215,25.5,46986,31.5,58042,7.3,4239,23.5,13618,8.9,5180,47.4,27528,12.9,7477,180611,46.2,83420,28.8,52065,25.0,45126,25.7,11597,24.5,11044,21.9,9896,27.9,12589
지역별,강원도,21359,35.4,7560,38.7,8268,25.9,5532,76.3,4223,6.7,368,3.2,176,13.8,764,20104,45.3,9099,24.9,5015,29.8,5990,3.0,180,4.5,269,1.8,108,18.9,1134,5.3,316,59.0,3535,5.7,339,1.8,109,19479,60.3,11751,27.1,5283,12.6,2445,0.0,0,0.0,0,48.9,1195,51.1,1251,21368,54.2,11583,34.8,7445,11.0,2340,1.5,36,43.0,1006,2.0,47,53.5,1252,0.0,0,22101,49.7,10974,19.1,4228,31.2,6898,17.7,1224,9.5,654,38.6,2665,34.2,2356
지역별,충청북도,19291,41.1,7935,34.8,6707,24.1,4649,77.9,3622,1.2,54,13.2,614,7.7,359,23715,45.6,10826,21.1,5006,33.2,7883,4.0,312,2.8,223,0.0,0,15.7,1236,15.4,1213,38.4,3028,22.8,1799,0.9,73,28458,48.7,13850,40.2,11433,11.2,3175,20.9,665,0.0,0,14.0,443,65.1,2067,20949,41.3,8658,25.8,5398,32.9,6893,24.5,1692,2.2,153,3.0,204,57.8,3982,12.5,862,20227,52.9,10703,32.0,6469,15.1,3055,28.6,874,24.0,732,32.2,982,15.3,467
지역별,충청남도,21448,39.5,8462,29.1,6249,31.4,6737,69.9,4709,6.5,441,12.4,838,11.1,749,30408,53.9,16385,22.4,6818,23.7,7205,4.0,290,1.1,77,3.8,277,2.2,159,18.5,1332,34.7,2503,33.5,2412,2.1,154,20585,60.5,12446,32.3,6641,7.3,1497,0.0,0,0.0,0,67.2,1006,32.8,491,33033,57.4,18945,23.2,7665,19.4,6422,25.5,1640,16.3,1045,0.0,0,58.2,3737,0.0,0,34380,49.8,17117,27.9,9607,22.3,7655,13.3,1021,18.3,1399,41.7,3192,26.7,2044
지역별,전라북도,19068,40.7,7755,36.7,6995,22.6,4317,89.4,3861,3.2,138,0.0,0,7.4,318,21265,45.2,9610,24.3,5166,30.5,6489,1.4,93,3.4,223,3.7,239,7.6,492,18.4,1193,44.7,2902,15.5,1005,5.3,342,37883,55.4,20984,38.0,14399,6.6,2499,2.4,60,0.0,0,26.2,656,71.4,1783,23357,47.6,11109,30.2,7056,22.2,5192,3.2,165,30.5,1582,1.9,101,64.4,3344,0.0,0,19376,48.0,9291,24.1,4671,27.9,5414,30.2,1634,41.9,2269,7.0,378,20.9,1133
지역별,전라남도,20868,47.4,9885,21.9,4579,30.7,6405,74.4,4768,2.7,173,22.9,1465,0.0,0,25931,43.4,11250,29.4,7620,27.2,7062,4.1,286,7.3,513,0.8,60,2.3,165,18.1,1278,33.8,2384,25.6,1805,8.1,571,32465,39.6,12871,37.1,12041,23.3,7552,11.7,885,0.0,0,11.7,885,76.6,5783,22840,40.9,9332,32.0,7308,27.2,6201,20.4,1266,16.9,1045,17.5,1082,44.9,2783,0.4,25,24934,49.9,12454,28.6,7123,21.5,5357,22.4,1197,34.5,1847,34.1,1825,9.1,487
